ROW,THUMBNAIL,CATEGORY,SET,YEAR,FILE_ID,FILE_NAME,STATE,ON_SITE,GALLERY,SORT,TITLE,CAPTION,ALT_TEXT
1,"=IF($F2="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F2&""&sz=w200""))",WILDLIFE,Tadoba,2013,16zmfai7HvWLaesiY7nN5sDLN8tH7ATcB,2013-05_Tadoba_IMG_0940.jpg,EXPORTED,,,,,,
2,"=IF($F3="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F3&""&sz=w200""))",WILDLIFE,Tadoba,2013,1-XQxqU4mStg36827ecRGUdPOJCyczFEK,2013-05_Tadoba_IMG_0930.jpg,EXPORTED,,,,,,
3,"=IF($F4="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F4&""&sz=w200""))",WILDLIFE,Tadoba,2013,1ieLiV1QDwucszWVv6EjC-lL0t3aLTqKr,2013-05_Tadoba_IMG_0924.jpg,EXPORTED,,,,,,
4,"=IF($F5="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F5&""&sz=w200""))",WILDLIFE,Tadoba ALLTIME,compiled,1Sxp_eoqhU1EyUsbENtam9jrWXIQ3-WLd,Tadoba_IMG_0676_FINAL_PRINT.png,EXPORTED,,,,,,
5,"=IF($F6="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F6&""&sz=w200""))",WILDLIFE,Tadoba ALLTIME,compiled,13nbPDcrBRut_ktX1iPAdg-1Y0VXHMjMq,Tadoba_alltime_01.jpeg,EXPORTED,,,,,,
6,"=IF($F7="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F7&""&sz=w200""))",WILDLIFE,Tadoba ALLTIME,compiled,1iEh4wzNigoj_6lTX7J7x8ZCEvNvgim25,Tadoba_alltime_02.jpeg,EXPORTED,,,,,,
7,"=IF($F8="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F8&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1oV2IgDKBWgoqAFUPYSTiWB9lCE-sEiD7,2024-11_Mysuru_Birds_DSC00204.jpg,EXPORTED,,,,,,
8,"=IF($F9="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F9&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1ymKpoo2Ht2nIna3-G7FVQ0dPWnDc4RVl,2024-11_Mysuru_Birds_DSC08809.jpg,EXPORTED,,,,,,
9,"=IF($F10="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F10&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1T5USZRAEx7daP_q6dm8Zb_-IjUDGijQ2,2024-11_Mysuru_Birds_DSC08845.jpg,EXPORTED,,,,,,
10,"=IF($F11="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F11&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1tVQLpNxNDTgpYTNS8h5Iz-CHZTBQIsKv,2024-11_Mysuru_Birds_DSC09117.jpg,EXPORTED,,,,,,
11,"=IF($F12="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F12&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1WRDNqsjicAuR0cIWdgE7sJD3UKNy9WOg,2024-11_Mysuru_Birds_DSC09696.jpg,EXPORTED,,,,,,
12,"=IF($F13="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F13&""&sz=w200""))",WILDLIFE,Birds Mysuru / Ranganathittu,2024,1GxtwPcyvu8sodwyfBAiwtgNYIla8mTy2,2024-11_Mysuru_Birds_DSC09784.jpg,EXPORTED,,,,,,
13,"=IF($F14="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F14&""&sz=w200""))",ASTRO,Deep sky,2020,11d5o9R7MR1zuGHqLoKyHmndLJshD98Dk,2020_Horsehead_IC434.jpg,EXPORTED,,,,,,
14,"=IF($F15="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F15&""&sz=w200""))",ASTRO,Deep sky,2020,1Y6o4vBDa-Q_MFYKmbLvsW0rikNauHMTl,2020_California_Nebula.jpg,EXPORTED,,,,,,
15,"=IF($F16="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F16&""&sz=w200""))",ASTRO,Deep sky,2020,1DueudTavtHGmCHAw0-2hG9A_glpsKYgo,2020_Andromeda_M31_signed.jpg,EXPORTED,,,,,,
16,"=IF($F17="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F17&""&sz=w200""))",ASTRO,Deep sky,2021,1tZa5uLwqtFZssDaP2E94I1KRksXl_HF3,2021_Triangulum_M33_starless.jpg,EXPORTED,,,,,,
17,"=IF($F18="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F18&""&sz=w200""))",ASTRO,Lunar,2021,1VPpscpcdDGk4MD3vG-kEj2fd0pj4qbjS,2021_Katrain_Moon_BW.jpg,EXPORTED,,,,,,
18,"=IF($F19="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F19&""&sz=w200""))",ASTRO,Milky Way hi-RES,2020,1ExFQFnuBoznnrspTucOLnFgE3_E0RSmW,IMG_4404_MILKY_.jpg,EXPORTED,,,,,,
19,"=IF($F20="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F20&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1FTVFhcbUVEjravrfOGU_7qkZiwUP1Ptl,IMG_4404.jpg,EXPORTED,,,,,,
20,"=IF($F21="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F21&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1FH29y21bIx60hs9iKef2Z1lQ2KaFU-UH,IMG_4403.jpg,EXPORTED,,,,,,
21,"=IF($F22="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F22&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1EpMvqknyLr2ejpFCSscZe1uvbgfeQtx2,IMG_4388.jpg,EXPORTED,,,,,,
22,"=IF($F23="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F23&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1FHh0gTD9knUGk1NYs_MMrKYuIjgUnBHi,IMG_4383.jpg,EXPORTED,,,,,,
23,"=IF($F24="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F24&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1FNYNgJLR-g2QZ4HmQD2DWLjkXkoOpvXe,IMG_4382.jpg,EXPORTED,,,,,,
24,"=IF($F25="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F25&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1EvhVcmJBUT-DMZMbt8ZABKIOp9hdHEex,IMG_4381.jpg,EXPORTED,,,,,,
25,"=IF($F26="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F26&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1Ew3V6Q0a6WcaprTN4W2lTPzOi-QoSYJL,IMG_4380.jpg,EXPORTED,,,,,,
26,"=IF($F27="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F27&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1F7AC31kbp7A6jMCZQsENkfd8ASh9jHsW,IMG_4378.jpg,EXPORTED,,,,,,
27,"=IF($F28="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F28&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1F6KPRlJC7tjeK2PJ4LOTeIR6npjdXBQC,IMG_4375.jpg,EXPORTED,,,,,,
28,"=IF($F29="""","""",IMAGE(""https://drive.google.com/thumbnail?id=""&$F29&""&sz=w200""))",LANDSCAPE,hi-RES EXPO,2020,1EqDsG1TfZnLNpGt7dy5-jPj3S62ezDx-,IMG_4374.jpg,EXPORTED,,,,,,
